,Features,Chi2 Stats,P_Scores
29,Methyl butyrate,54.33111022243769,0.0
138,"Butanoic acid, butyl ester",39.07071097899422,0.0
83,Pentadecanal,21.592506554793115,0.0
76,"Butanoic acid, 3-methyl-",18.394153571961148,0.0
134,882_unknown,109.41882305535223,0.0
32,Propionic acid,190.2659854080494,0.0
31,Ethyl Acetate,29.534616036480205,0.0
26,Acetic acid,35.99307466350531,0.0
23,Butyric acid,359.2723856164976,0.0
80,Dimethyl trisulfide,20.121791555708494,0.0
18,p-Cresol,72.28781663548247,0.0
125,"1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-",18.988559681662075,0.0
66,Heptanoic acid,18.959806332224034,0.0
93,Acetoin,17.036024897262763,0.0
55,Cyclohexanecarboxylic acid,34.25711329985031,0.0
12,Toluene,28.767102371552095,0.0
4,Urea,25.63625553690898,0.0
52,(-)-Menthone,55.54004244838861,0.0
10,Phenol,34.19980379520937,0.0
5,eGFR,157.33448135439684,0.0
111,"Butanoic acid, propyl ester",16.70912003833333,0.0
267,(-)-Borneol,28.73284595092579,0.0
3,Creatinine,32.93221617261284,0.0
13,Indole,150.16908409996068,0.0
105,Hexanoic acid,115.85850842849426,0.0
178,385_unknown,16.085217130638647,0.0001
20,Ethanol,10.601159277378114,0.0011
42,"Indolizine, 3-methyl-",10.010841721426054,0.0016
133,Dimethyl sulfone,9.72026243125607,0.0018
108,Carbon disulfide,9.55164685224985,0.002
47,Methyl propionate,8.762842571864631,0.0031
58,1-Butanol,7.843979349693152,0.0051
100,"Hexanoic acid, methyl ester",7.321194245911065,0.0068
30,309_Xylene,7.275376995242013,0.007
189,"R(-)3,7-Dimethyl-1,6-octadiene",6.8697565683211845,0.0088
43,Methyl valerate,6.555303524059317,0.0105
257,"Cyclohexanecarboxylic acid, ethyl ester",5.721098012053691,0.0168
153,trans-2-Dodecen-1-ol,5.524812202407647,0.0187
28,Methyl acetate,5.061033610184861,0.0245
205,"Isophthalic acid, butyl tridec-2-ynyl ester",4.7964029565384,0.0285
120,973_unknown,4.7777838868886855,0.0288
277,Isobutyl isovalerate,4.530009803701065,0.0333
53,Linalool,4.218616787474879,0.04
65,Camphene,4.14509997424561,0.0418
135,"Oxime-, methoxy-phenyl-_",4.128912763321498,0.0422
87,2-Oxohexane,3.977954104678875,0.0461
16,272_Xylene,3.6754428656273,0.0552
75,Ethyl propionate,3.5009934419672564,0.0613
41,Methanethiol,3.4523393323385694,0.0632
39,"Propanoic acid, 2-methyl-",3.4484346865355064,0.0633
50,"Phenol, 4-ethyl-",3.382243875851144,0.0659
233,3-Pentanol,3.3747595818789087,0.0662
158,"3,4-Dihydroxyphenylglycol",3.373103923445796,0.0663
209,367_unknown,3.352388262184993,0.0671
101,"Cyclohexanecarboxylic acid, methyl ester",3.3502008516796553,0.0672
96,"Propanoic acid, propyl ester",3.3264370990321144,0.0682
90,"Butanoic acid, 2-methyl-",2.9028839758102545,0.0884
61,Quinoline,2.866767725205463,0.0904
252,"Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-",2.849474310554859,0.0914
22,Ethylbenzene,2.845855876898142,0.0916
281,Methyl tetradecanoate,2.8447077299771575,0.0917
180,"Cyclohexasiloxane, dodecamethyl-",2.8418085372087254,0.0918
15,1-Hexadecanol,2.732309676762439,0.0983
37,269_Xylene,2.688002689439006,0.1011
62,"Cyclobutane, 1,2-diethenyl-3,4-dimethyl-",2.6007737954547956,0.1068
63,"Methylamine, N,N-dimethyl-",2.5035061593884995,0.1136
77,"2,3-Pentanedione",2.3964800740968557,0.1216
121,1105_unknown,2.313402320391095,0.1283
232,Terpinene,2.2957022069728588,0.1297
107,Methyl 3-phenylpropanoate,2.2748010174695876,0.1315
156,1152_unknown,2.2494583845102163,0.1337
40,2-Butanone,2.247020403115124,0.1339
131,Myrcene,2.2316345575011622,0.1352
254,"Z-1,6-Tridecadiene",2.1677832429178787,0.1409
17,Methyl Alcohol,2.1371303058751736,0.1438
253,"2-Heptanone, 5-methyl-",2.1142619112790406,0.1459
216,Vinyl crotonate,2.102342129093854,0.1471
59,2-Undecanone,2.0935825735258233,0.1479
103,"2-Bromomethyl-1,3-dioxolane",2.0632158761333477,0.1509
143,Phenylacetaldehyde,2.0110516446453346,0.1562
1,Gender,1.8932423692920286,0.1688
265,"Benzene, 1-ethyl-4-methyl-",1.856483021028764,0.173
119,"1-Propanone, 1-cyclopropyl-",1.810621673828103,0.1784
91,Anethole,1.767920315340748,0.1836
274,"1,1-Dichloropentane",1.751744194871837,0.1857
114,Mequinol,1.7163150321119454,0.1902
268,"Bicyclo[4.1.0]heptane, 7-methylene-",1.6483437277351403,0.1992
238,"4-Octanone, 5-hydroxy-2,7-dimethyl-",1.6392824698678725,0.2004
38,2-Octanone,1.6094911538727117,0.2046
72,Methyl hexadecanoic acid,1.5057955167660309,0.2198
147,1036_unknown,1.3785204578106733,0.2404
224,"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",1.3441796650554536,0.2463
19,Phenylethyl Alcohol,1.2782588108140436,0.2582
262,978_unknown,1.2703510682614025,0.2597
36,Sulcatone,1.242678724513957,0.265
199,Mesitylene,1.1842176838799303,0.2765
21,Benzene,1.131421433741982,0.2875
242,384_unknown,1.1180615144359973,0.2903
109,Dodecane,1.0943402395558017,0.2955
229,Tetrahydropyran Z-10-dodecenoate,1.0721242861121176,0.3005
129,Benzyl methyl ketone,1.0476493043770632,0.306
132,"Butanoic acid, 3-methylbutyl ester",1.0232910946225109,0.3117
46,1-Propanol,0.9438952258122284,0.3313
204,"Cycloheptasiloxane, tetradecamethyl-",0.9104992751906936,0.34
49,1-Hexanol,0.8733061259268781,0.35
201,677_unknown,0.8493343488676344,0.3567
208,626_unknown,0.8100318005637974,0.3681
33,Hexadecanal,0.7947165653260243,0.3727
0,Age,0.781711796019794,0.3766
217,2-Methyl-4-heptanone,0.7429432362922062,0.3887
45,2-Tridecanone,0.7415356922836014,0.3892
223,1-Cyclohexyldimethylsilyloxyoctadecane,0.7392338629122344,0.3899
81,Isopentanol,0.7088672075188156,0.3998
166,"Propanoic acid, 2-methyl-, anhydride",0.7007647431722215,0.4025
128,"1-Heptanol, 3-methyl-",0.697946461563768,0.4035
235,"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",0.6973484542429607,0.4037
237,S-Methyl 3-methylbutanethioate,0.683250780523209,0.4085
149,"Cyclohexene, 3-(1,5-dimethyl-4-hexenyl)-6-methylene-, [S-(R*,S*)]-",0.665025795898906,0.4148
207,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.6585201255213703,0.4171
159,2-Methylpropyl butanoate,0.6461228197895952,0.4215
60,"2(3H)-Furanone, 5-heptyldihydro-",0.6191039451027636,0.4314
126,875_unknown,0.6115469621062675,0.4342
246,n-Hexane,0.6086600720349151,0.4353
193,"Ethanol, 1-(2-butoxyethoxy)-",0.6021339069929134,0.4378
35,2-Nonanone,0.578980881143285,0.4467
7,Benzaldehyde,0.5659525750940675,0.4519
191,"Carbonic acid, prop-1-en-2-yl tetradecyl ester",0.5639278812437106,0.4527
139,"Disulfide, methyl 2-propenyl",0.553082613849618,0.4571
184,"Benzene, (2-isothiocyanatoethyl)-",0.5369591544037586,0.4637
221,"2,4-Difluorobenzene, 1-benzyloxy-",0.5280191877886627,0.4674
56,"Ethanone, 1-(2-aminophenyl)-",0.4769467633677482,0.4898
263,"2-Octene, 2-methyl-6-methylene-",0.45952663456499526,0.4978
266,"Heptasiloxane, hexadecamethyl-",0.4501683154094589,0.5023
11,n-Pentadecanol,0.441346727434129,0.5065
155,Eucalyptol,0.42690620841044435,0.5135
162,(+)-2-Bornanone,0.41825760339186685,0.5178
48,Hexadecane,0.4092838439865945,0.5223
104,1-Heptadecyne,0.40622865431761257,0.5239
152,"Propanoic acid, butyl ester",0.40014946620670166,0.527
167,"2-Propanol, 1-methoxy-",0.3985309005409529,0.5278
186,218_unknown,0.3954022444391211,0.5295
34,1-Octen-3-ol,0.3936527410149284,0.5304
261,"4,5-Nonadiene",0.3805534920205047,0.5373
64,"Octane, 2,4,6-trimethyl-",0.3701632591187475,0.5429
94,"Benzeneacetic acid, methyl ester",0.36912989666593676,0.5435
196,Bis[bicyclo[3.2.0]hept-2-en-4-yl]ether,0.3551493431443743,0.5512
264,"Benzaldehyde, 3-chloro-5-methoxy-4-[(4-methylphenyl)methoxy]-",0.3538531280286217,0.5519
124,Octadecanol,0.34225519276105215,0.5585
85,"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",0.33913364445101424,0.5603
148,319_unknown,0.33502704636041397,0.5627
14,Carbon dioxide,0.31884557014846215,0.5723
228,Heptacosane,0.3109920332478105,0.5771
212,2-Hexanol,0.3067126447758278,0.5797
258,Tributyl phosphate,0.30224571328590555,0.5825
250,"Pentanal, 2,4-dimethyl-",0.29520257650351583,0.5869
69,Hexanal,0.28098277442006103,0.5961
113,Octanal,0.27612219177462044,0.5993
185,1-Hexadecyne,0.2723331341816526,0.6018
68,o-Cymene,0.253187143437254,0.6148
115,Tetradecanal,0.25115205966220566,0.6163
272,"Decane, 2,2,3-trimethyl-",0.2454804273563871,0.6203
271,"Benzoic acid, 3,4-dichlorophenyl ester",0.2329149087935184,0.6294
67,"(2E,4E)-3,7-Dimethylocta-2,4-diene",0.22618460771760107,0.6344
142,"2-Heptenal, (Z)-",0.223603613131771,0.6363
144,3-Phenylpropanol,0.2221378941227871,0.6374
227,"Pentadecane, 2,6,10,14-tetramethyl-",0.21477949284207798,0.643
82,2-Pentadecanone,0.21470397562282345,0.6431
157,Copaene,0.21312724179548734,0.6443
198,Ethyl methyl disulfide,0.2106111566407537,0.6463
71,Methyl salicylate,0.2091509354647716,0.6474
84,"2,3-Butanedione",0.20595730536702841,0.65
225,"2,5-Dimethylpyrazine",0.19555742350901867,0.6583
182,"Benzene, 1-(chloromethyl)-3-methoxy-",0.19353362842637162,0.66
197,"3-Hexanol, 2-methyl-",0.1871081180900402,0.6653
2,BMI,0.1837561562497666,0.6682
57,"Phthalic acid, hexyl tridec-2-yn-1-yl ester",0.17997103732249242,0.6714
70,"5,9-Undecadien-2-one, 6,10-dimethyl-",0.16358110166929474,0.6859
213,"1,4-Methano-1H-Cyclopropa[d]pyridazine, 4,4a,5,5a-tetrahydro-6,6-dimethyl-",0.15845581734273548,0.6906
163,2-Heptanone,0.1498026042902897,0.6987
123,"5-Tetradecene, (E)-",0.1481181162767829,0.7003
161,Carbamic acid,0.14620169571580205,0.7022
245,"Butanoic acid, 3-methyl-, 3-methylbutyl ester",0.1436895658227672,0.7046
219,"Cyclohexane, 1,1'-methylenebis-",0.1422024390453807,0.7061
190,"5-hydroxy-7-methoxyflavanone, tert.-butyldimethylsilyl ether",0.11645504538073394,0.7329
241,"3,4-Hexanedione",0.11479340850198115,0.7348
175,"Ethane, 1-ethoxy-1-methoxy-",0.11468879980864258,0.7349
177,Methyl isobutyrate,0.11400681708281547,0.7356
251,"Cyclohexene, 4-ethenyl-4-methyl-3-(1-methylethenyl)-1-(1-methylethyl)-, (3R-trans)-",0.11258052737629644,0.7372
25,"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",0.1089682796115254,0.7413
130,Benzyl alcohol,0.10463708295458288,0.7463
97,2-Methyl-3-heptanone,0.10365922064583925,0.7475
168,13-Methyltetradecanal,0.10248826847584708,0.7489
273,cis-11-Hexadecenal,0.09559614770636521,0.7572
206,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",0.09539502657917612,0.7574
276,"Cyclopentanecarboxylic acid, 4-nitrophenyl ester",0.09166182544801305,0.7621
179,"2-Pentenoic acid, 4-hydroxy-",0.08871598652491829,0.7658
234,"2-Hexene, 3,5,5-trimethyl-",0.08630681515495384,0.7689
122,"(S)-3,4-Dimethylpentanol",0.08373798480042981,0.7723
231,Butyl 2-methylbutanoate,0.07627647624966134,0.7824
146,2-Dodecanone,0.07587908238307457,0.783
24,Acetone,0.0736931401129928,0.786
275,"1,4-p-Menthadien-7-al",0.07313142532980121,0.7868
202, Propyl 2-methylpropanoate,0.06831886279542607,0.7938
255,cis-9-Hexadecenal,0.06707914995840045,0.7956
200,5H-Tetrazol-5-amine,0.06651966703827704,0.7965
88,1-Nonanol,0.06272102339734904,0.8022
218,"Benzaldehyde, 3-bromo-5-methoxy-4-[(4-methylphenyl)methoxy]-",0.05943037581267365,0.8074
215,Z-8-Hexadecene,0.05926460424795532,0.8077
154,Isopropyl Alcohol,0.054930396715414664,0.8147
270,3-Octanol,0.054480249864280045,0.8154
8,"Cyclopentasiloxane, decamethyl-",0.05287319462428623,0.8181
188,68_unknown,0.05028370288866083,0.8226
248,Methanesulfonic anhydride,0.04972554127902282,0.8235
183,"Butanoic acid, 3-methyl-, propyl ester",0.04869009365716713,0.8254
9,Styrene,0.03977372237249505,0.8419
99,Linalyl acetate,0.038648242022866854,0.8441
137,Acetonitrile,0.03831141873069924,0.8448
151,Hordenine,0.03464130644890248,0.8523
136,"Carbamic acid, (2,4-difluorophenyl)-, 5-methyl-2-(1-methylethyl)phenyl ester",0.03457884641274788,0.8525
164,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",0.033393896164801054,0.855
79,"Decane, 2,4,6-trimethyl-",0.03217248409418693,0.8576
51,"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",0.03080759610719923,0.8607
78,1-Pentadecyne,0.030350444180250336,0.8617
44,"Butanal, 3-methyl-",0.02862011730593415,0.8657
98,"Di(1,2,5-oxadiazolo)[3,4-b:3,4-E]pyrazine, 4,8-diacetyl-",0.028247232711589892,0.8665
160,679_unknown,0.026690689696607144,0.8702
27,"Disiloxane, hexamethyl-",0.026559276941840505,0.8705
174,"2,5-Dihydroxybenzaldehyde, 2TMS derivative",0.02556470437975566,0.873
203,"3-Pentanone, 2-methyl-",0.02441769027558032,0.8758
247,"Bicyclo[2.2.1]hept-2-ene, 2-[(2,4-dinitrophenyl)thio]-",0.0244159984289337,0.8758
150,trans-Raphasatin,0.023973203195437782,0.877
140,"Dichloroacetic acid, 4-hexadecyl ester",0.023636574232120882,0.8778
280,1-Decanol,0.022005538932613578,0.8821
106,2-Nonanol,0.021678974274086157,0.8829
74,"Butanal, 2-methyl-",0.020936423180602758,0.885
171,"Pivalic acid, 2-methylpropyl ester",0.02091222821113134,0.885
230,166_unknown,0.018282243933032016,0.8924
141,"Octane, 6-ethyl-2-methyl-",0.01774670389159781,0.894
187,4-Acetoxy-3-methoxystyrene,0.017075687339090737,0.896
226,4-Hydroxy-3-hexanone,0.015994095302436787,0.8994
236,1037_unknown,0.01433751939855431,0.9047
54,Nonanal,0.013137785185347426,0.9087
243,"3(2H)-Thiophenone, dihydro-2-methyl-",0.012328515097369935,0.9116
169,"Ethanol, 2-ethoxy-",0.011907277954469168,0.9131
145,E-2-Hexadecacen-1-ol,0.009385355028767806,0.9228
95,Pentadecane,0.009151222956000718,0.9238
170,3-Pyridinecarbonitrile,0.009012402037388506,0.9244
102,"Heptane, 2,2,4,6,6-pentamethyl-",0.00837344855719766,0.9271
176,"2-Butanone, 3-methyl-",0.005960526177585685,0.9385
172,"1-Butene, 4-isothiocyanato-",0.005488315014253365,0.9409
110,"Thiophene, 2-pentyl-",0.0053774346456937515,0.9415
6,"Cyclotrisiloxane, hexamethyl-",0.005303710098399537,0.9419
244,"9-Octadecenoic acid, ethyl ester",0.004686677763667356,0.9454
192,"9-Tetradecenal, (Z)-",0.004620551436975059,0.9458
214,"Hexanoic acid, butyl ester",0.004526811301388846,0.9464
86,"Furan, 2-pentyl-",0.004060950684431984,0.9492
73,Octadecane,0.0040399759161739565,0.9493
240,1428_unknown,0.0038345628505270955,0.9506
259,7-epi-a-Eudesmol,0.0036555320370001915,0.9518
278,251_unknown,0.0036421391746540945,0.9519
165,Cyclohexanemethanol,0.003579731273505831,0.9523
195,"Cyclopropane, 1-methyl-1-(1-methylethyl)-2-nonyl-",0.0033287268911506747,0.954
181,"Cyclohexanol, 4-ethenyl-4-methyl-3-(1-methylethenyl)-",0.0030717336394025943,0.9558
279,"Cyclohexanone, 2,2,6-trimethyl-",0.0029603435639595685,0.9566
269,1228_unknown,0.0029547141521993284,0.9567
220,Octane,0.002910171103162465,0.957
116,2-Piperidinone,0.0028955722781242297,0.9571
92,2-Tetradecanone,0.0024143805182897035,0.9608
256,"Benzaldehyde, 4-(1-phenyl-2-propenyloxy)-",0.001975803963718962,0.9645
210,1-Tetradecene,0.001835140932811185,0.9658
222,2-Decanone,0.001416207825722827,0.97
89,"2-Undecene, 9-methyl-, (E)-",0.0012153093931020697,0.9722
211,Heptanal,0.0008060498958787929,0.9774
239,"Dichloroacetic acid, nonyl ester",0.000669078384496099,0.9794
118,"1-Propanol, 2-methyl-",0.0005141234424843384,0.9819
260,"14-Octadecenoic acid, methyl ester",0.00043249834722270395,0.9834
112,"2-Octenal, (E)-",0.0003079450460814866,0.986
194,"Benzaldehyde, 4-hydroxy-",0.00012106370967572791,0.9912
117,"2,4-Imidazolidinedione, 1-methyl-",8.745256844699416e-05,0.9925
249,"Acetic acid, hexyl ester",6.134381004816323e-05,0.9938
173,"1-Pentene, 4,4-dimethyl-1,3-diphenyl-1-(trimethylsilyloxy)-",3.8934286684480846e-05,0.995
127,1-Tetradecanol,2.5699086316077975e-05,0.996
